id,question,answer
17,lsp-medialive-enricher Enricher receives an error from State Api when performing PUT /channels operation?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
Given MediaLive API Gateway PUT /channels endpoint exists and will respond with
When a switchInputLogEvent ""non-slate input"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted with the received attributes
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.cvid.retrieved"" is emitted with the received attributes
And a DEEL message is sent to the ""OUT"" topic with
And a DEEL message is sent to the ""MEDIALIVE_IN"" topic with
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.notification.complete"" is emitted with the received attributes
And a PUT request is sent to the API Gateway /channels endpoint
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-update-failed.notification"" is emitted
"
18,lsp-medialive-enricher Enricher receives a final timecode message and sends a message to the output topic?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a final-timecode message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.final-timecode.received"" is emitted with the received attributes
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.final-timecode.cvid.retrieved"" is emitted with the received attributes
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.livestream.final-timecode.notification.complete"" is emitted with the received attributes


"
19,lsp-medialive-enricher Enricher receives a 4xx error when attempting to retrieve Channel record from State Api?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a final-timecode message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.final-timecode.received"" is emitted
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed"" is emitted
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed.notification"" is emitted
Then the message is sent to the fail queue

"
20,lsp-medialive-enricher Enricher receives a 5xx error when attempting to retrieve Channel record from State Api?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a final-timecode message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.final-timecode.received"" is emitted
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed"" is emitted
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed.notification"" is emitted

"
21,lsp-medialive-enricher Enricher finds nothing when attempting to retrieve Channel record from State Api?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a final-timecode message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.final-timecode.received"" is emitted
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.channel-record-notfound"" is emitted
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-record-notfound.notification"" is emitted
Then the message is sent to the fail queue
"
22,lsp-medialive-enricher Enricher receives a initialTimecodeEvent?,"Given MediaLive API Gateway PUT /channels endpoint exists and will respond with
When a initial-timecode message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.initial-timecode.received"" is emitted with the received attributes
And a PUT request is sent to the API Gateway /channels endpoint to update the active input
And an ispy event ""lsp-medialive-enricher.livestream.initial-timecode.active-input.updated"" is emitted with the received attributes

"
23,lsp-medialive-enricher Enricher receives a initialTimecodeEvent?,"Given MediaLive API Gateway PUT /channels endpoint exists and will respond with
When a initial-timecode message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.initial-timecode.received"" is emitted with the received attributes
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-update-failed.notification"" is emitted

"
24,lsp-medialive-enricher Enricher receives an event with an unknown state and sends it to the badmessage queue?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a message with an unknown state is sent to the queue
Then an ispy event ""lsp-medialive-enricher.badmessage"" is emitted
And the message is sent to the badmessage queue
"
25,lsp-medialive-alerter Get Channel by channel Arn returns a 4xx exception?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""400"" with
When a medialive channel alert message is sent to the queue
Then an ispy event ""channel-alert.received"" is emitted with
And an ispy event ""channel-retrieve-failed"" is emitted
And the message is sent to the fail queue


"
26,lsp-medialive-alerter Get Channel by channel Arn returns a 5xx exception?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""500"" with
When a medialive channel alert message is sent to the queue
Then an ispy event ""channel-alert.received"" is emitted with
And an ispy event ""channel-retrieve-failed"" is emitted
And the message is sent to the fail queue


"
27,lsp-medialive-alerter Get Channel by channel Arn returns empty?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns empty HTTP ""200""
When a medialive channel alert message is sent to the queue
Then an ispy event ""channel-alert.received"" is emitted with
And an ispy event ""channel-record-notfound"" is emitted
And the message is sent to the fail queue


"
28,lsp-medialive-alerter State api returns 400 on POST /channelalerts?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""400"" with
When a medialive channel alert message is sent to the queue
Then an ispy event ""channel-alert-persist-failed"" is emitted
And the message is sent to the fail queue

"
29,lsp-medialive-alerter State api returns 400 on DELETE /channelalerts?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""DELETE"" endpoint returns HTTP ""400"" with
When a medialive channel alert message is sent to the queue with AlarmState == cleared
Then an ispy event ""channel-alert-db-delete-failed"" is emitted
And the message is sent to the fail queue


"
30,lsp-medialive-alerter State api returns 400 on GET /channelalerts?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""400"" with
And MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue
Then an ispy event ""channel-alert-retrieve-failed"" is emitted
And the message is sent to the fail queue

"
31,lsp-medialive-alerter State api returns 4xx on /channels PUT?,"And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
Given MediaLive State API ""/channelalerts"" ""DELETE"" endpoint returns HTTP ""200"" with
Given MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns empty HTTP ""400""
When a medialive channel alert message is sent to the queue with AlarmState == cleared
And an ispy event ""channel-update-failed"" is emitted
And the message is sent to the fail queue

"
32,lsp-medialive-alerter State api returns 4xx on /channels PUT?,"Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""400"" with
When a medialive channel alert message is sent to the queue
Then an ispy event ""no-active-alerts-retrieved"" is emitted
And an ispy event ""channel-update-failed"" is emitted
And the message is sent to the fail queue

"
33,lsp-medialive-alerter alerter updates channelRecord state to ALERTING from RUNNING?,"Given MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue with AlarmState == set
Then an ispy event ""active-alerts-retrieved"" is emitted
And an ispy event ""channel.state.updated"" is emitted with
And the correct state api requests are made

"
34,lsp-medialive-alerter alerter does not update channelRecord state when current state is not RUNNING?,"Given MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
Given MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue with AlarmState == set
Then an ispy event ""active-alerts-retrieved"" is emitted
Then an ispy event ""channel.state.unmodified"" is emitted
And the correct state api requests are made

"
35,lsp-medialive-alerter alerter updates channelRecord state to RUNNING from ALERTING?,"Given MediaLive State API ""/channelalerts"" ""DELETE"" endpoint returns HTTP ""200"" with
Given MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue with AlarmState == cleared
Then an ispy event ""no-active-alerts-retrieved"" is emitted
And an ispy event ""channel.state.updated"" is emitted with
And the correct state api requests are made

"
36,lsp-medialive-alerter alerter does not update channelRecord state when current state is not ALARMING?,"Given MediaLive State API ""/channelalerts"" ""DELETE"" endpoint returns HTTP ""200"" with
Given MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue with AlarmState == cleared
Then an ispy event ""no-active-alerts-retrieved"" is emitted
Then an ispy event ""channel.state.unmodified"" is emitted
And the correct state api requests are made
"
37,lsp-medialive-alerter Sends cleared alert to encoding and influx topic?,"Given MediaLive State API ""/channelalerts"" ""DELETE"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue with AlarmState == cleared
Then an ispy event ""channel-alert.received"" is emitted with
And an ispy event ""cvid.retrieved"" is emitted with
And an ispy event ""livestream-record-notfound"" is emitted
And an ispy event ""severity.found"" is emitted
And alert is sent to encoding topic with
And an ispy event ""channel-alert.user.notification"" is emitted with
And alert is sent to influx topic with
And an ispy event ""channel-alert.monitoring.notification"" is emitted
And an ispy event ""channel-alert.processed"" is emitted

"
38,lsp-medialive-alerter Default severity when unexpected alert type?,"Given MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""200"" with
When a medialive channel alert of ""Unexpected Alert Type"" message is sent to the queue
Then an ispy event ""channel-alert.received"" is emitted
And an ispy event ""severity.defaulted"" is emitted with
And alert is sent to encoding topic
And an ispy event ""channel-alert.user.notification"" is emitted
And alert is sent to influx topic
And an ispy event ""channel-alert.monitoring.notification"" is emitted
And an ispy event ""channel-alert.processed"" is emitted


"
39,lsp-medialive-alerter alerter creates channel alert message on AlarmState == set?,"Given MediaLive State API ""/channelalerts"" ""POST"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue
Then an ispy event ""channel-alert.persisted"" is emitted

"
40,lsp-medialive-alerter alerter creates channel alert message on AlarmState == cleared?,"Given MediaLive State API ""/channelalerts"" ""DELETE"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channelalerts"" ""GET"" endpoint returns HTTP ""200"" with
When a medialive channel alert message is sent to the queue with AlarmState == cleared
Then an ispy event ""channel-alert.db-deleted"" is emitted


"
41,lsp-medialive-alerter Badmessage?,"When a malformed message is sent to the queue
Then an ispy event ""badmessage"" is emitted
And the message is sent to the badmessage queue
"
42,"What is lsp-medialive-alerter
?","
lsp-medialive-alerter consumes Cloudwatch events of type ""Medialive Channel Alert"". It updates the Alert table and 
notifies customers of any errors.

"
43,"lsp-medialive-alerter's ""Development
""","
The Makefile defines all the processes needed to build and test the project.

"
44,"lsp-medialive-alerter's ""Make a clean build of the java application
""","```
make jar
```

"
45,"lsp-medialive-alerter's ""Run the tests
""","
```
make test
```

"
46,"lsp-medialive-alerter's ""Combination of the above two commands building - first and testing next
""","
```
make clean_test
```

"
47,"lsp-medialive-alerter's ""Cucumber tags can be provided in the environment variable TAGS to run specific scenarios:
""","
`TAGS=""@happy"" make test`
or 
`TAGS=""@happy"" ./test`

NOTE: By default, the tests run using the same arguments as Okta. This means the 
order is random and any scenarios tagged with '@wip' are skipped.

"
48,"lsp-medialive-alerter's ""Docker Component tests
""","
The component tests use Docker to build a mock environment representative of the cloud 
network the lambda is executed inside of.

The component tests now do not require the internet to run and only require the internet 
to pull images and dependencies to build/run the mocks. This should further reduce the 
'runs on my machine' and random networking based failures in our tests.

"
49,"lsp-medialive-alerter's ""Docker-compose.yml
""","
Defines all of the services for our cucumber tests and mock environment. Including the
network setup to allow aws bound calls to be routed internally within the Docker Network.

"
50,"lsp-medialive-alerter's ""Reverse-proxy
""","
This handles the ssl termination for the https requests the lambda code will try to 
make to the mock aws services. Most of these have no or limited ssl support so the
reverse proxy can handle this and use plain http to the services. 

A key advantage of this and the combination of docker allows us to use the 'true' DNS 
name of the aws endpoint and route it to a Docker container by using the aliases feature
of docker networking. This allows us to make no changes to the endpoints the services use 
to communicate out of the lambda.

"
51,"lsp-medialive-alerter's ""Cucumber
""","
The cucumber tests are built into a docker image and run inside the same network as the aws
services. This allows the standard ruby libraries to interact with AWS to continue working 
without any alteration.

It also prevents the need to do any port mapping on the Docker host. This would have caused 
issues on Build servers if two tests try to map the same port.

"
52,"lsp-medialive-alerter's ""Deploying Stacks
""","
Needs to be in this order:
- Resources
- Ispy
- Component
"
53,"What is lsp-medialive-conductor
?","
Receives commands and events, turning these into actions it performs on MediaLive.

All channel requests sent to MediaLive contain the destination of the output, which are either routed to Push Packager for distribution to various CDNs
or Duet for social streaming.

"
54,"lsp-medialive-conductor's ""Origin of Incoming Messages
""","
Where do incoming messages come from that make all this happen?

Conductor receives DEEL statement messages from the following origins:

| Deel Message Statement  | Origin                  | Type    |
| ----------------------- | ----------------------- | ------- |
| createInput             | spitfire                | COMMAND |
| createLivestream        | spitfire                | COMMAND |
| startLivestream         | spitfire                | COMMAND |
| stopLivestream          | spitfire                | COMMAND |
| switchInput             | spitfire                | COMMAND |
| amendOverlay            | spitfire                | COMMAND |
| livestreamCreated       | lsp-medialive-enricher  | STATUS  |
| livestreamDeleted       | lsp-medialive-enricher  | STATUS  |
| livestreamStopped       | lsp-medialive-enricher  | STATUS  |

All commands sent by Spitfire are submitted via marvin2-console.

See also: [lsp-medialive-enricher](https://github.com/bbc/lsp-medialive/tree/master/components/lsp-medialive-enricher), 
[spitfire](https://github.com/bbc/spitfire/), 
[marvin2-console](https://github.com/bbc/marvin2-console),
[duet](https://github.com/bbc/duet).

"
55,"lsp-medialive-conductor's ""Profiles
""","
Profiles are loaded from S3 using the `PROFILE_CONFIG_BASE_PREFIX` and `*_PROFILE` environment
variables. Before, the 4KB environment variable limit was exceeded concatenating both the base path and
the profile name for all six profiles.

"
56,"lsp-medialive-conductor's ""Development
""","
The Makefile defines all the processes needed to build and test the project.

"
57,"lsp-medialive-conductor's ""Make a clean build of the java application
""","```
make jar
```

"
58,"lsp-medialive-conductor's ""Run the tests
""","```
make test 
```

"
59,"lsp-medialive-conductor's ""Combination of the above two commands - building first and testing next
""","```
make clean_test
```

"
60,"lsp-medialive-conductor's ""Cucumber tags can be provided in the environment variable TAGS to run specific scenarios:
""","```
TAGS=""@happy"" make test or TAGS=""@happy"" ./test
```

NOTE: By default, the tests run using the same arguments as Okta. This means the
order is random and any scenarios tagged with `@wip` are skipped.

"
61,"lsp-medialive-conductor's ""Testing
""","
"
62,"lsp-medialive-conductor's ""INT
""","
Use the Rundeck jobs for Media Live in Prepare and Transcode on TEST environment. See [Fixtures](https://github.com/bbc/lsp-medialive/tree/master/components/lsp-medialive-conductor/component-test/cucumber/fixtures).

Alternatively, place a message on the EncodingInputTopic.

"
63,"lsp-medialive-conductor's ""Docker Component tests
""","
The component tests use Docker to build a mock environment representative of the cloud
network the lambda is executed inside of.

The component tests now do not require the internet to run and only require the internet
to pull images and dependencies to build/run the mocks. This should further reduce the
'runs on my machine' and random networking based failures in our tests.

When running component tests, profiles are uploaded locally to a mocked just-config s3 bucket
in `env.rb`.

"
64,"lsp-medialive-conductor's ""Docker-compose.yml
""","
Defines all of the services for our cucumber tests and mock environment. Including the
network setup to allow aws bound calls to be routed internally within the Docker Network.

"
65,"lsp-medialive-conductor's ""Reverse-proxy
""","
This handles the ssl termination for the https requests the lambda code will try to
make to the mock aws services. Most of these have no or limited ssl support so the
reverse proxy can handle this and use plain http to the services.

A key advantage of this and the combination of Docker allows us to use the 'true' DNS
name of the aws endpoint and route it to a Docker container by using the aliases feature
of Docker networking. This allows us to make no changes to the endpoints the services use
to communicate out of the lambda.

"
66,"lsp-medialive-conductor's ""Cucumber
""","
The Cucumber tests are built into a Docker image and run inside the same network as the aws
services. This allows the standard ruby libraries to interact with AWS to continue working
without any alteration.

It also prevents the need to do any port mapping on the Docker host. This would have caused
issues on Build servers if two tests try to map the same port.

"
67,"lsp-medialive-conductor's ""Helpful Scripts
""","
These scripts allow you to run the code inside a representative lambda environment.
The command does not include the services that the lambda depends on such as S3 and
SNS. The component tests

```
docker run --rm -i \
-u root \
-e AWS_REGION=eu-west-1 \
-e BAD_MESSAGE_QUEUE_ARN=arn:aws:sqs:eu-west-1:790940428898:NeilTestMediaLiveEventQueue \
-e ISPY_TOPIC_ARN=arn:aws:sns:eu-west-1:790940428898:DummyJustConfiguratorIspyTopic \
-e DOCKER_LAMBDA_USE_STDIN=1 \
--mount type=volume,source=lsp-medialive-conductor-fake-certs,destination=/tmp/mock-certs \
lsp-medialive-conductor:latest uk.co.bbc.lsp_medialive_conductor.Main::handleRequest \
'{
""Records"": [
{
""messageId"": ""21cd887b-2e88-4a17-b20f-262844a95abe"",
""receiptHandle"": ""AQEBvr9yN9LLkg4yr+629KIUN+aIJ7dB/RvDLhichVWsRHC/fc+8+8Am5rQUckYO5Ga3I/baBoyh0R86Kt/5+/gQJsZCnPLFO8o7LHG80EgsSaAiwZ/h+ZADlc5WWcFhiFTuHJYwFjnwbkkRdwEr0oewmXtH0p+Yf0pwaoewctw0/UuXo/EGxUHQ0TRoA7KFCLnlU6/s4ZRLgM9DvylU3lwNCUR93uK7+RGTyS4qbFIimDYWaxXmC7tsLJcSqfTJUFdpJ+etuujdsxr8v2+GtOq5ERa5i6L3v6tWPgdY6t/QJqNxu2Oc14qVQK6b09uee/uiplJJ9yaRjH4+znnHo1NC+9jT5lpfrnRAM+cXNOfuxuOsChbtZP4Ih3X5D8NyF2XMBpCnT6GrapxQr31u11zR289sG6NWDjMWyoyKLU8clbZOT7c2sH5GmAHC/qOdJqNc"",
""eventSourceARN"": ""arn:aws: sqs:eu-west-1: 038610054328:IntModavSqsLambdaHelloWorldResources-Queue-852HEGR0Z31D"",
""eventSource"": ""aws:sqs"",
""awsRegion"": ""eu-west-1"",
""body"": ""{\""foo\"": \""bar\""}"",
""md5OfBody"": ""9bb58f26192e4ba00f01e2e7b136bbd8"",
""attributes"": {
""ApproximateReceiveCount"": 1,
""SentTimestamp"": 1565189036506,
""SenderId"": ""AROAIM2NUNJ5KAGKQ2DIM"",
""ApproximateFirstReceiveTimestamp"": ""1565189036545""
},
""messageAttributes"": {}
}
]
}'
```
```
docker run --rm -it \
-u root \
-e AWS_REGION=eu-west-1 \
-e BAD_MESSAGE_QUEUE_ARN=arn:aws:sqs:eu-west-1:790940428898:NeilTestMediaLiveEventQueue \
-e ISPY_TOPIC_ARN=arn:aws:sns:eu-west-1:790940428898:DummyJustConfiguratorIspyTopic \
-e DOCKER_LAMBDA_USE_STDIN=1 \
--mount type=volume,source=lsp-medialive-conductor-fake-certs,destination=/tmp/mock-certs \
--entrypoint /bin/bash \
lsp-medialive-conductor:latest
```

"
68,"lsp-medialive-conductor's ""Deploying Stacks
""","
Needs to be in this order:
- Resources
- Ispy
- Component
"
69,lsp-medialive-conductor Conductor handles any type of input creation 5xx response from Medialive /inputs?,"Given a ""create-livestream-many-inputs.json"" create livestream message
And Medialive State API gateway /livestreams post endpoint exists and will respond with HTTP 201
And Medialive State API gateway /slates post endpoint exists and will respond with HTTP 201
And Medialive /inputs endpoint exists and will respond to:
And MediaLive State API ""/livestreams"" ""PUT"" endpoint returns HTTP ""201"" with profile name
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.create-livestream.request.received' is emitted with the received attributes
And a 'POST' to the '/livestreams' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.medialive.input-creation-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""INPUT_CREATION_FAILED_IN_MEDIALIVE"" and statement ""createLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.medialive.input-creation-failed.notification' is emitted with the received attributes

"
